# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
nombre_usado::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
nombre_usado::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
ooc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
ooc.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
ooc.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
ooc.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
ooc.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 01
ooc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
ooc.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
ooc.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 01
ooc.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
ooc.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
profesion_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
profesion_usada::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
raza_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
raza_usada::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
staffc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
staffc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
susurrar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
susurrar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
susurrar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
susurrar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
susurrar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
susurrar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
susurrar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
susurrar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
susurrar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
susurrar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
toggle_variable.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
toggle_variable.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
toggle_variable.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
toggle_variable.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
toggle_variable.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 01
toggle_variable.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
toggle_variable.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
toggle_variable.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 01
toggle_variable.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
toggle_variable.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
vida::29fd8388-8ad2-3557-a4b8-906cbc75df5e, long, 0000000000000019
vida::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, long, 0000000000000014

